coin,fundingRate,premium,time,datetime
BTC,0.0000125,0.0002976485,1758265200001,2025-09-19 07:00:00.001
BTC,0.0000125,0.0003714144,1758268800030,2025-09-19 08:00:00.030
BTC,0.0000125,0.000384163,1758272400109,2025-09-19 09:00:00.109
BTC,0.0000125,0.0003606454,1758276000042,2025-09-19 10:00:00.042
BTC,0.0000125,0.0002457763,1758279600063,2025-09-19 11:00:00.063
BTC,0.0000125,0.0002646663,1758283200001,2025-09-19 12:00:00.001
BTC,0.0000125,0.0002759792,1758286800038,2025-09-19 13:00:00.038
BTC,0.0000125,0.0003222607,1758290400041,2025-09-19 14:00:00.041
BTC,0.0000125,0.0003852772,1758294000012,2025-09-19 15:00:00.012
BTC,0.0000125,0.0005067295,1758297600032,2025-09-19 16:00:00.032
BTC,0.0000125,0.0005897842,1758301200052,2025-09-19 17:00:00.052
BTC,0.0000125,0.000518404,1758304800047,2025-09-19 18:00:00.047
BTC,0.0000125,0.0005363372,1758308400049,2025-09-19 19:00:00.049
BTC,0.0000125,0.0004205073,1758312000023,2025-09-19 20:00:00.023
BTC,0.0000125,0.0004729941,1758315600022,2025-09-19 21:00:00.022
BTC,0.0000125,0.000464003,1758319200053,2025-09-19 22:00:00.053
BTC,0.0000125,0.0003708926,1758322800020,2025-09-19 23:00:00.020
BTC,0.0000125,0.0003244886,1758326400068,2025-09-20 00:00:00.068
BTC,0.0000125,0.000342914,1758330000039,2025-09-20 01:00:00.039
BTC,0.0000125,0.0003280097,1758333600064,2025-09-20 02:00:00.064
BTC,0.0000125,0.000342694,1758337200060,2025-09-20 03:00:00.060
BTC,0.0000125,0.0002432509,1758340800045,2025-09-20 04:00:00.045
BTC,0.0000125,0.0001538244,1758344400047,2025-09-20 05:00:00.047
BTC,0.0000125,0.0001592689,1758348000066,2025-09-20 06:00:00.066
BTC,0.0000125,0.0001261718,1758351600027,2025-09-20 07:00:00.027
BTC,0.0000125,0.0001753202,1758355200039,2025-09-20 08:00:00.039
BTC,0.0000125,0.000079418,1758358800037,2025-09-20 09:00:00.037
BTC,0.0000125,0.0001036229,1758362400045,2025-09-20 10:00:00.045
BTC,0.0000125,0.0001170295,1758366000029,2025-09-20 11:00:00.029
BTC,0.0000125,0.0001462783,1758369600058,2025-09-20 12:00:00.058
BTC,0.0000125,0.000113431,1758373200066,2025-09-20 13:00:00.066
BTC,0.0000125,0.0001254216,1758376800052,2025-09-20 14:00:00.052
BTC,0.0000125,0.0001007175,1758380400015,2025-09-20 15:00:00.015
BTC,0.0000125,0.0000713816,1758384000082,2025-09-20 16:00:00.082
BTC,0.0000125,0.000073965,1758387600089,2025-09-20 17:00:00.089
BTC,0.0000125,0.0000048358,1758391200108,2025-09-20 18:00:00.108
BTC,0.0000125,-0.0000961418,1758394800077,2025-09-20 19:00:00.077
